ID	Response	Escape_Angle	Attack_Angle	Flow	Direction	Fineness	Vel_max	Accel_max
cb_00_01	1	36.6806	162	1	1	8.248107364	56.13731538	4089.1362
cb_00_02	1	36.1988	153	1	1	9.965350877	84.28067301	6136.096885
cb_00_03	1	58.2485	179	1	1	8.431435964	99.9449554	10933.00843
cb_00_04	1	2.2872	157	1	1	7.715123859	65.26960003	5875.537781
cb_00_05	1	14.7941	163	1	1	8.140080429	119.6586989	9966.149205
cb_00_06	1	33.1463	170	1	1	8.259642147	91.89625928	6958.784024
cb_00_07	1		176	1	1	7.955004891		
cb_00_08	1	5.8997	178	1	1	7.963320463	95.48417368	7705.035261
cb_00_09	1	89.1631	162	1	1	9.642616034	84.06091274	11743.83233
cb_00_10	1	22.0176	156	1	1	8.229508197	61.04417337	5425.030261
cb_00_11	1	13.0861	169	1	1	7.523059185	78.0009466	7797.233536
cb_00_12	0		162	1	1	7.823598589		
cb_00_13	1	10.4553	168	1	1	8.226161369	76.80319718	6491.420961
cb_00_14	1	31.4522	168	1	1	8.813541667	54.92875118	2885.720145
cb_00_15	1	46.8871	155	1	1	8.247037037	85.67210054	7636.131946
cb_00_16	1	3.7955	177	1	1	8.06852459	89.05685285	8369.772598
cb_00_17	1	26.9497	178	1	1	8.05316847	82.74720215	6607.145874
cb_00_18	1	36.4911	179	1	1	8.105025773	96.96651824	8444.769056
cb_00_19	1	75.4204	180	1	1	8.322528363	61.9543962	7989.440237
cb_00_20	1	22.4138	156	1	1	7.900143164	21.33992176	2816.281028
cs_00_09	1	58.0067	147	1	1	7.474720467	62.93036318	5461.266471
cs_00_10	1		174	1	1	8.294912331		
cs_00_13	1	39.6892	151	1	1	8.019181946	101.7237984	13729.48058
cs_00_16	1	10.004	158	1	1	8.206529625		
cs_00_19	1		133	1	1	8.597222222		
cs_00_25	1	72.5555	146	1	1	7.979425328	91.49774359	9174.72618
cs_00_28	1	85.088	151	1	1	8.06543495	44.04081868	2733.468094
cs_00_29	1		122	1	1	7.968726451		
cf_00_01	1	0.3671		1	2	7.941767068	75.42380984	8763.510012
cf_00_02	1	61.8922	24	1	2	8.296409214	123.0209314	15573.86262
cf_00_03	1	66.7933	41	1	2	7.225255032	92.22367829	10088.99577
cf_00_04	1	50.9334	13	1	2	8.34040532	95.92199028	11029.38404
cf_00_05	0		6	1	2	7.350731707		
cf_00_06	1	65.0666	22	1	2	6.890504705	44.35704934	4407.968744
cf_00_07	1			1	2	7.493917892		
cf_00_08	1	110.0557	37	1	2	8.651054506	93.89240267	14789.09493
cf_00_09	1	104.0335	25	1	2	8.074993182	117.2961315	8593.811726
cf_00_10	1	29.1497	18	1	2	7.836378291	75.20618233	8241.077402
cf_00_11	1	76.2267	4	1	2	8.128476495	90.74078336	8547.656034
cf_00_12	1	41.6601	15	1	2	7.605544747	76.12954699	9649.990573
cf_00_13	1	41.4223	8	1	2	7.832505879	53.9495012	3299.589028
cf_00_14	1	27.2978	46	1	2	7.38089421	7.941935206	1942.221176
cf_00_15	1	10.0422	53	1	2	7.584412153	75.28870511	7419.593743
cf_00_16	1		35	1	2	8.361725067		
cf_00_17	0			1	2	7.994442901		
cf_00_18	1	119.0439	13	1	2	8.675595238	64.10391367	6373.26663
cf_00_19	1	36.8635	59	1	2	7.836252189	98.48821814	7518.944175
cf_00_20	1	16.3107	7	1	2	8.016023739	14.76724711	2421.640774
cs_00_01	1	6.2102	72	1	3	8.932436975	51.12175344	6024.154378
cs_00_02	1	23.495	92	1	3	9.663424125	96.94829681	12539.28946
cs_00_03	1		100	1	3	8.143973214		
cs_00_04	1		114	1	3	9.119210632		
cs_00_05	1	35.4399	116	1	3	8.814417635	87.59339974	10205.58498
cs_00_06	0		100	1	3	7.805911681		
cs_00_07				1	3			
cs_00_07b	1		90	1	3	8.083497884	83.50562958	8895.339763
cs_00_08	1	109.4675	66	1	3	8.363268608	98.21047344	7007.790299
cs_00_11	1	40.291	120	1	3	7.814618974	95.13012297	10184.60282
cs_00_12	0		71	1	3	8.341763943		
cs_00_14	1		93	1	3	7.896877956		
cs_00_15	0		80	1	3	7.672708706		
cs_00_17	1	77.9107	110	1	3	7.828687573	99.50043647	9754.796124
cs_00_18	1	36.0538	97	1	3	7.203583873	58.6807064	6615.65177
cs_00_20	1	24.682	114	1	3	8.356032778		
cs_00_21	1	14.2671	75	1	3	7.851184518	9.29669707	1181.285103
cs_00_22	0		81	1	3	8.196908355		
cs_00_23	1	133.916	74	1	3	7.89363191	107.7741792	7533.439254
cs_00_24	1	20.5447	74	1	3	8.322325421	94.24706319	12597.95426
cs_00_26	1	22.1062		1	3	7.25828684	100.0068632	15840.15632
cs_00_27	0		107	1	3	8.041853513		
cs_00_30	1	18.0118	74	1	3	8.639399625	102.4751252	10813.89844
cb_15_01	1	23.8528	162	2	1	7.762896825	65.40357184	6323.202468
cb_15_02	1		176	2	1	8.844878878		
cb_15_03	1	12.9249		2	1	7.184615385	74.91384083	6308.794634
cb_15_04	1	2.3094	157	2	1	10.05502846	48.64698648	7990.073582
cb_15_05	1	10.3238	174	2	1	8.344827586	75.90338825	6922.084691
cb_15_06	1	9.656	160	2	1	9.897787948	69.40586269	9904.705395
cb_15_07	1	65.1688	177	2	1	8.024334601	80.92002502	6648.561136
cb_15_08	1		170	2	1	6.829986245		
cb_15_09	1	75.6952	161	2	1	8.300273598	69.55144219	3738.863682
cb_15_10	1	42.7526	173	2	1	7.650788925	98.44064392	12973.24469
cb_15_11	1	12.432	158	2	1	7.943919886	68.56270264	5719.860249
cb_15_12	1	10.1357	172	2	1	8.818700928	85.49465415	8833.618109
cb_15_13	0		175	2	1	8.226283988		
cb_15_14	1	131.0918	168	2	1	8.712206952	97.42894825	10395.18584
cb_15_15	1		170	2	1	7.609383833		
cb_15_16	1	8.4634	170	2	1	9.397029034	75.2268283	7948.213145
cb_15_17	1	69.1275		2	1	8.781690141	93.07331699	10775.18172
cb_15_18	1	46.8796	178	2	1	8.834995175	99.51897324	10044.50441
cb_15_19	1	33.2529	163	2	1	7.288309637	78.83638232	7467.92688
cb_15_20				2	1	9.893869732		
cb_15_21	1	33.331	179	2	1	8.806957514	60.07176775	6140.082615
cf_15_01	0		25	2	2	9.111270125		
cf_15_02	1	55.7564	30	2	2	7.535461857	43.31366707	3726.064908
cf_15_03	0		16	2	2	7.927670311		
cf_15_04	1	113.9636	32	2	2	8.410680707	74.28606517	8680.21503
cf_15_05	1	68.8659	16	2	2	7.918990704	86.7036984	10726.81406
cf_15_06	1	147.4913	34	2	2	6.68723099	78.97110106	4678.490959
cf_15_07	0		22	2	2	8.032369942		
cf_15_08	1	154.476	29	2	2	8.568393949	61.42885786	5719.755449
cf_15_09	1	38.9835	2	2	2	8.822611465	119.877139	16114.78861
cf_15_10	1	83.5634	7	2	2	8.305181696	75.37245035	6203.047183
cf_15_11	1	63.7085	17	2	2	8.901565217	141.7837625	15843.87547
cf_15_12	1	62.1125	20	2	2	8.81027668	114.0784809	16279.05604
cf_15_13	0		19	2	2	8.225262576		
cf_15_14	1	29.1253	20	2	2	8.723362012	56.77374002	7362.549768
cf_15_15	0		15	2	2	8.121306917		
cf_15_16	1	66.7226	39	2	2	7.982513337	70.89068984	7640.418711
cf_15_17	1	67.2018		2	2	7.671883734	94.14945423	9811.240657
cf_15_18	1	7.4916	17	2	2	8.415079774	63.20920777	5907.543339
cf_15_19	1	27.9554	31	2	2	8.130159687	47.71710381	7686.242534
cf_15_20	1	87.3904	26	2	2	8.331910703	39.07850707	5215.436002
cs_15_07	1	19.0868	59	2	2	9.590835753	71.90791145	11689.57074
cs_15_14	1	42.2168	54	2	2	8.937055477	74.88932359	7999.342384
cs_15_01	0			2	3	8.917910448		
cs_15_02	1			2	3	8.924511278		
cs_15_03	0		82	2	3			
cs_15_04	1	28.7857	100	2	3	8.359038737	32.92291062	2649.018467
cs_15_05	0		88	2	3	9.414650098		
cs_15_06	1	10.5237	74	2	3	7.962962963	67.69389977	8195.749745
cs_15_08	0			2	3	9.053974122		
cs_15_09	0		61	2	3	8.596297499		
cs_15_10	0		75	2	3	8.593869732		
cs_15_11	1	41.1053	97	2	3	8.440777298	69.37525202	7165.900423
cs_15_12	0		95	2	3	8.033465543		
cs_15_13	1	1.4635	93	2	3	8.164049355	82.27959176	7025.279907
cs_15_15	0		78	2	3	9.477087953		
cs_15_16	1	12.9992	64	2	3	7.83626047	48.33446958	6044.705181
cs_15_17	0		73	2	3	7.666058394		
cs_15_18	1	27.4644	70	2	3	8.382741823	85.98308056	13999.11418
cs_15_19	1	41.0559	117	2	3	9.090909091	68.72693505	9240.200942
cs_15_20	1	7.8401	97	2	3	8.107670851	49.11615721	7440.16353
cs_15_21	0		95	2	3	7.92981169		
cs_15_22	0		74	2	3	7.905726872		
cs_15_23	0		64	2	3	8.656353591		
cs_15_24	0		114	2	3	7.765038055		
cs_15_25	1	112.0395	82	2	3	7.411226742	80.18292889	7598.377724
cs_15_26	1	85.7161	82	2	3	7.798053528	59.33306899	5371.089445
cs_15_27	1	40.707	100	2	3	9.007239819	28.69825538	2350.739447
cs_15_28	1	20.3423	74	2	3	7.963687151	28.29514434	5867.08995
cs_15_29	1	32.9692	102	2	3	8.407819088	65.49255784	6407.365648
cs_15_30	0		86	2	3	8.026683609		
cs_15_31	1	54.23	111	2	3	8.216284075	105.8965016	6740.512726
cs_15_32	1	42.5643	79	2	3	7.590346142	70.11767669	7619.843854
cs_15_33	1	54.8241	63	2	3	7.342969777	25.69635702	1809.231117
cs_15_34	0		75	2	3	11.10855376		
cb_30_01	1	47.2101	171	3	1	8.505916214	34.47104576	3391.0888
cb_30_02	1	63.3005	173	3	1	8.521126761	87.20780815	12316.41759
cb_30_03	1	50.1084	160	3	1	8.351162139	72.10387022	5637.168287
cb_30_04	1	87.7088	159	3	1	8.024263992	74.08517087	4015.695903
cb_30_05	1	17.997		3	1	7.905234348	77.73439438	5612.42704
cb_30_06	1	58.0025	174	3	1	8.158368644	37.33673216	4903.414112
cb_30_07b	1	34.0538	176	3	1	7.518743668	94.10752494	7905.955472
cb_30_08	1	33.4763	163	3	1	7.82179676	110.8027881	9244.554047
cb_30_09	1	78.4099	168	3	1	7.834495302	91.20943122	7265.426932
cb_30_10	1	1.645	173	3	1	8.047095222	84.44171871	7004.304803
cb_30_11	1	82.7719	177	3	1	8.079952969	67.13124306	6837.099912
cb_30_12	1	3.9019	178	3	1	8.282810885	40.92625094	3662.440265
cb_30_13	1	54.1192	166	3	1	7.653210426	71.96151033	6152.994923
cb_30_14	1	35.9419	176	3	1	7.487938931	43.21645452	4375.24704
cb_30_15	1	13.8629	157	3	1	8.180398162	74.41113215	10344.84814
cb_30_16	1	30.3654	180	3	1	7.753144654	87.11803274	9621.377365
cb_30_17	1	8.122	168	3	1	8.026196636	106.5120821	7543.545966
cb_30_18	1	1.9269	152	3	1	8.081118494	120.0773739	9556.636751
cb_30_19	1	6.7263	167	3	1	7.958739894	75.6154584	6747.268758
cb_30_20	1	2.6046	158	3	1	9.767272727	29.32554955	5554.148175
cs_30_05	1	48.8393	146	3	1	9.556463068	60.02084976	7928.857784
cs_30_10	1	64.8779	129	3	1	8.676138198	76.5746006	8479.686573
cs_30_22	1	22.2666	145	3	1	7.406057357	80.27313042	12775.73144
cf_30_01	0		33	3	2	8.120769947		
cf_30_02	0		21	3	2	7.119927159		
cf_30_03	0		1	3	2	7.87682506		
cf_30_04	1	103.3198	27	3	2	7.803730738	27.6806031	7202.732237
cf_30_05	0		34	3	2	6.821889871		
cf_30_06	0		12	3	2	8.107087589		
cf_30_07	0		1	3	2	8.041704718		
cf_30_08	0		19	3	2	8.79515896		
cf_30_09	0		0	3	2	8.299255247		
cf_30_10	0		3	3	2	8.226592978		
cf_30_11	0		5	3	2	8.639020826		
cf_30_12	1	49.1656	1	3	2	7.030338664	20.42878784	4909.490722
cf_30_13	1	61.2883	9	3	2	7.310055057	92.58819934	12971.72138
cf_30_14	0		20	3	2	7.756731074		
cf_30_15	0		24	3	2	7.851548802		
cf_30_16	0		6	3	2	8.133370074		
cf_30_17	0		12	3	2	7.631040364		
cf_30_18	1	68.1575	1	3	2	7.523330539	83.6448407	12100.90255
cf_30_19	1	63.5639	13	3	2	7.507764358	82.62829252	9764.728993
cf_30_20	1		18	3	2	8.078012135	106.0681139	8267.679495
cs_30_01	0		87	3	3	8.453458582		
cs_30_02	0		94	3	3	7.861568248		
cs_30_03	1	6.8218	85	3	3	9.412751678	65.58276045	10176.11141
cs_30_04	1	22.5176	86	3	3	8.075784488	108.8100657	12058.10316
cs_30_06	1	57.6382	99	3	3	NA	51.79450771	5021.343888
cs_30_07	0		114	3	3	8.638888889		
cs_30_08	1	6.5828	83	3	3	8.959842001	87.97934185	12873.40061
cs_30_09	1		113	3	3	7.983266733	100.7891778	6208.983126
cs_30_11	1	27.0963	79	3	3	9.905363854	62.97277268	7697.292121
cs_30_12	1	17.6582	93	3	3	8.578491172	37.89229466	5977.582345
cs_30_13	1	36.1557	72	3	3	9.292932992	65.81468639	10938.08851
cs_30_14	1	27.4076	91	3	3	NA	72.94655736	6299.883449
cs_30_15	1	39.2313	105	3	3	9.108099282	79.61930677	8016.421511
cs_30_16	1	89.4077	112	3	3	8.74686907	83.28940595	10221.10273
cs_30_17	1	24.0095	120	3	3	8.959450402	66.49505374	6713.474391
cs_30_18	1	28.6055	95	3	3	8.253126056	73.63111938	10207.71737
cs_30_19	1		99	3	3	8.812369701		
cs_30_20	1	0.6522	75	3	3	8.899941315	102.500654	12379.89733
